batch_size,epochs,fl_filter,n_dropout,drop_value,n_layer,lr,patience,val_loss,val_accuracy,val_precision,val_recall,val_auc
8,42,64,2,0.6702916152361084,5,0.00029847738541895127,20,0.8618375658988953,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.78515625
8,25,64,3,0.5518292571261982,2,0.00018778657965023418,8,0.9367840886116028,0.625,0.625,0.625,0.7482638955116272
16,40,64,3,0.7399575886714129,3,0.0007373776666549179,17,1.09617280960083,0.5625,0.5625,0.5625,0.7119140625
8,46,8,3,0.5778985569919057,5,0.0002270549696106597,6,0.8870406150817871,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7855902910232544
16,19,16,3,0.3368625115643097,4,0.0007837449069874389,19,0.788203239440918,0.6875,0.6875,0.6875,0.7880859375
8,46,8,1,0.6590266076069775,4,0.0001230249375425439,19,0.9396676421165466,0.5416666865348816,0.5416666865348816,0.5416666865348816,0.7144097089767456
8,27,32,3,0.6672853339405629,5,0.00030331864019475106,9,0.8949155807495117,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7712673544883728
8,22,64,2,0.5805268082476039,2,0.00012121555109999223,12,0.9438624382019043,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7039930820465088
16,39,32,1,0.2786048364394899,4,0.0004287914728690049,15,0.9572123289108276,0.5,0.5714285969734192,0.5,0.70703125
16,29,64,2,0.7340381107782807,5,0.0005349102336797782,18,1.0166512727737427,0.5,0.5,0.5,0.6875
16,10,16,3,0.3769225267060293,3,0.0009284981092596143,14,0.8191360235214233,0.625,0.6000000238418579,0.375,0.830078125
16,10,16,3,0.3782922297774064,3,0.0009531765697577612,14,0.7928715348243713,0.6875,0.6875,0.6875,0.8046875
16,10,16,3,0.4134446229252886,3,0.0009372101722135975,11,0.8032150268554688,0.5625,0.5625,0.5625,0.7890625
16,18,16,2,0.20048942057566826,4,0.0006230568322077935,16,0.6695908308029175,0.6875,0.6875,0.6875,0.8671875
16,18,16,2,0.24758763641297732,4,0.0005967320382304244,16,0.9202998280525208,0.5,0.5,0.5,0.677734375
16,17,16,1,0.2245108062105929,4,0.0004513787136834539,20,0.9268765449523926,0.625,0.625,0.625,0.7431640625
16,33,16,2,0.3030549033287649,4,0.0006175977932125955,17,0.8216158151626587,0.625,0.625,0.625,0.779296875
16,18,16,2,0.21664704930245793,4,0.0007049620134921593,18,0.9930675029754639,0.4375,0.4375,0.4375,0.69140625
16,32,16,1,0.31999844572518366,3,0.00042099626592272696,15,0.909177839756012,0.5,0.5,0.5,0.7265625
16,15,8,2,0.44661219853432915,5,0.0007320209512503796,13,0.829666018486023,0.625,0.625,0.625,0.78515625
16,22,32,2,0.20753545443940133,4,0.0005049597772511597,11,0.9912111759185791,0.5,0.5,0.5,0.66796875
16,14,16,3,0.35569109875416355,3,0.0009265208858354015,16,1.0562160015106201,0.5625,0.5625,0.5625,0.7265625
16,13,16,3,0.32904003698019973,2,0.0009897484266078746,14,0.8863874673843384,0.5,0.46666666865348816,0.4375,0.6884765625
16,22,16,3,0.26421383603142,3,0.000778160603252764,18,0.9798401594161987,0.5625,0.5625,0.5625,0.7451171875
16,20,16,2,0.39567782745076147,4,0.0006378457791659151,13,0.9392930269241333,0.5,0.5,0.5,0.720703125
16,12,16,3,0.2872552991782287,3,0.0008175732326625847,15,0.6599444150924683,0.6875,0.6875,0.6875,0.8603515625
16,13,16,3,0.28245495380665536,4,0.0007852045836509566,16,0.9131879806518555,0.5,0.5,0.5,0.724609375
16,25,16,2,0.20002550463230706,3,0.0005350638653470335,19,0.9409307241439819,0.625,0.625,0.625,0.8291015625
16,15,32,3,0.2558658650546487,2,0.0008005207823585256,17,1.1395289897918701,0.5625,0.5625,0.5625,0.689453125
8,20,8,2,0.33866307861311,5,0.0003620103145205717,20,0.8722218871116638,0.625,0.625,0.625,0.7938368320465088
16,34,16,3,0.31541961613266006,4,0.0006352698428030239,19,0.9958815574645996,0.5,0.5,0.5,0.7265625
16,10,16,3,0.3621504126929434,3,0.0008484490253121143,15,0.8709478378295898,0.5625,0.5625,0.5625,0.7109375
16,12,16,3,0.29211513567592007,3,0.0008406775017842695,14,1.310549259185791,0.5625,0.5625,0.5625,0.70703125
16,16,16,3,0.4691102413117766,3,0.0007005073231504937,12,1.0091123580932617,0.5,0.5,0.5,0.65625
8,12,64,3,0.2530766053891053,2,0.0009524726432326966,5,0.9212741255760193,0.625,0.0,0.0,0.7543402910232544
16,19,16,3,0.41334674297076823,3,0.0006931944479301378,16,0.8791624307632446,0.5625,0.5625,0.5625,0.7333984375
8,23,8,3,0.3442275460787697,4,0.0008433444996953265,11,0.8649445176124573,0.625,0.625,0.625,0.7721354365348816
16,16,64,2,0.2987434265250202,3,0.00026932178373324556,8,0.7427499294281006,0.625,0.625,0.625,0.783203125
8,26,64,2,0.2388742662808599,4,0.0002380673678105968,8,0.9065524935722351,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7387152910232544
16,16,64,1,0.3041674494609657,2,0.0003406704524804852,9,2.378608465194702,0.4375,0.4375,0.4375,0.6044921875
16,24,64,2,0.2749911644414689,5,0.0002257699306272477,7,0.9149046540260315,0.625,0.625,0.625,0.78125
16,11,64,2,0.36723567671964835,3,0.00028267805218157494,14,0.8311153650283813,0.6875,0.6875,0.6875,0.8056640625
16,48,64,2,0.23405572789922505,3,0.0008712607235284029,15,1.0397114753723145,0.6875,0.6875,0.6875,0.7998046875
16,28,32,2,0.2928798289099421,3,0.0009900250448936752,10,1.0488641262054443,0.5,0.5,0.5,0.6728515625
16,20,16,3,0.3317517380925145,3,0.0007144044670220088,13,0.9466941952705383,0.4375,0.4375,0.4375,0.6552734375
16,37,16,3,0.3872807761666968,4,0.0007648732102168753,17,0.937748908996582,0.625,0.625,0.625,0.7294921875
16,14,8,2,0.26890625942535046,3,0.0005720820137114646,12,0.8532648682594299,0.6875,0.6875,0.6875,0.775390625
8,17,64,1,0.2312324482361003,4,0.000646923859873169,17,0.8712061047554016,0.625,0.625,0.625,0.7695313096046448
