batch_size,epochs,fl_filter,n_dropout,drop_value,n_layer,lr,patience,val_loss,val_accuracy,val_precision,val_recall,val_auc
16,36,32,1,0.38061900003577587,4,0.00019016299641625342,5,0.9211483597755432,0.625,0.625,0.625,0.740234375
8,31,16,1,0.6648066435277247,2,0.0007555370755793257,17,0.9313458800315857,0.5416666865348816,0.5416666865348816,0.5416666865348816,0.732638955116272
8,40,32,1,0.2602017992576678,2,0.000680306373336739,13,0.8839366436004639,0.5833333134651184,0.5,0.375,0.734375
16,25,32,2,0.726456897695656,3,0.0001106335527189949,14,0.9088222980499268,0.5,0.5,0.5,0.701171875
16,49,64,3,0.35053849550603267,5,0.0003413770783464507,13,0.9091928005218506,0.5,0.5,0.5,0.7509765625
8,12,32,2,0.7019143513065145,5,0.00018089619124457714,13,0.8607699871063232,0.625,0.625,0.625,0.7907986044883728
8,26,64,1,0.20616708389770655,4,0.000279451188614176,12,0.8137591481208801,0.625,0.625,0.625,0.8046875
16,10,64,3,0.6261547283426725,2,0.00024030059037175735,10,1.3598814010620117,0.5625,0.5625,0.5625,0.728515625
8,21,8,1,0.38643277994950814,2,0.00015696773023981219,18,0.8854904174804688,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.78515625
8,34,16,1,0.46831922929668574,4,0.00014618320740870976,8,0.889782726764679,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7391493320465088
8,21,64,2,0.20347630641589304,3,0.0003781244716436433,20,0.8057358264923096,0.625,0.625,0.625,0.818142294883728
8,20,64,2,0.22651485538070512,3,0.00038032391742294735,20,0.8840208053588867,0.625,0.625,0.625,0.7790798544883728
8,25,64,2,0.21037670476836948,4,0.00045485982746572073,16,0.8963438868522644,0.625,0.625,0.625,0.7391493320465088
8,17,64,3,0.3000911590070484,3,0.0002758507504570583,10,0.8959375023841858,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7213542461395264
8,27,8,2,0.20984622203546546,4,0.0005487618561937143,20,0.8193206787109375,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7604166269302368
8,16,64,1,0.30272921787880475,3,0.0002968172910033848,10,0.9082397818565369,0.5416666865348816,0.5416666865348816,0.5416666865348816,0.7421875
