batch_size,epochs,fl_filter,ol_units,n_dropout,drop_value,n_layer,lr,patience,val_loss,val_accuracy,val_precision,val_recall,val_auc
8,10,8,3,1,0.4,2,0.0001,5,0.8824602961540222,0.625,0.625,0.625,0.8072916865348816
8,10,8,3,1,0.4,3,0.0001,5,0.8757748603820801,0.625,0.625,0.625,0.7981771230697632
8,10,16,3,1,0.4,2,0.0001,5,0.9949577450752258,0.5416666865348816,0.5416666865348816,0.5416666865348816,0.7100694179534912
8,10,16,3,1,0.4,3,0.0001,5,0.9284287095069885,0.5416666865348816,0.5416666865348816,0.5416666865348816,0.7217881679534912
8,10,32,3,1,0.4,2,0.0001,5,0.895529568195343,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7061631679534912
8,10,32,3,1,0.4,3,0.0001,5,0.8966413140296936,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7547743320465088
8,20,8,3,1,0.4,2,0.0001,5,0.8825687766075134,0.625,0.625,0.625,0.7612847089767456
8,20,8,3,1,0.4,3,0.0001,5,0.8984349370002747,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7026909589767456
8,20,16,3,1,0.4,2,0.0001,5,0.8896739482879639,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7356771230697632
8,20,16,3,1,0.4,3,0.0001,5,0.8381687998771667,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.7491320371627808
8,20,32,3,1,0.4,2,0.0001,5,0.8637194037437439,0.625,0.625,0.625,0.7591146230697632
8,20,32,3,1,0.4,3,0.0001,5,0.8880937099456787,0.5833333134651184,0.5714285969734192,0.5,0.7569444179534912
8,10,8,3,1,0.5,2,0.0001,5,0.7982558608055115,0.625,0.625,0.625,0.8094618320465088
8,10,8,3,1,0.5,3,0.0001,5,0.8672658801078796,0.625,0.625,0.625,0.7834201455116272
8,10,16,3,1,0.5,2,0.0001,5,0.7846886515617371,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.8059895038604736
8,10,16,3,1,0.5,3,0.0001,5,0.7944156527519226,0.625,0.625,0.625,0.7860243320465088
8,10,32,3,1,0.5,2,0.0001,5,0.9374334812164307,0.5416666865348816,0.5416666865348816,0.5416666865348816,0.7300347685813904
8,10,32,3,1,0.5,3,0.0001,5,0.8917622566223145,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7378472089767456
8,20,8,3,1,0.5,2,0.0001,5,0.9176651835441589,0.5416666865348816,0.5416666865348816,0.5416666865348816,0.7521701455116272
8,20,8,3,1,0.5,3,0.0001,5,0.8908402919769287,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7434895634651184
8,20,16,3,1,0.5,2,0.0001,5,0.7996833920478821,0.625,0.625,0.625,0.7842881679534912
8,20,16,3,1,0.5,3,0.0001,5,0.8926605582237244,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7690972685813904
8,20,32,3,1,0.5,2,0.0001,5,0.8327609896659851,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7638888359069824
8,20,32,3,1,0.5,3,0.0001,5,0.8883094191551208,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7269965410232544
16,10,8,3,1,0.4,2,0.0001,5,1.097008228302002,0.4375,0.4375,0.4375,0.6826171875
16,10,8,3,1,0.4,3,0.0001,5,0.915280282497406,0.5,0.5,0.5,0.771484375
16,10,16,3,1,0.4,2,0.0001,5,1.0346503257751465,0.5625,0.5625,0.5625,0.7236328125
16,10,16,3,1,0.4,3,0.0001,5,0.785903811454773,0.6875,0.6875,0.6875,0.7919921875
16,10,32,3,1,0.4,2,0.0001,5,0.8428996205329895,0.625,0.625,0.625,0.78515625
16,10,32,3,1,0.4,3,0.0001,5,0.8583739995956421,0.625,0.625,0.625,0.76953125
16,20,8,3,1,0.4,2,0.0001,5,0.921119749546051,0.625,0.625,0.625,0.7900390625
16,20,8,3,1,0.4,3,0.0001,5,0.8256645202636719,0.625,0.625,0.625,0.80078125
16,20,16,3,1,0.4,2,0.0001,5,0.8617425560951233,0.5625,0.5625,0.5625,0.818359375
16,20,16,3,1,0.4,3,0.0001,5,0.9572536945343018,0.6875,0.6875,0.6875,0.7587890625
16,20,32,3,1,0.4,2,0.0001,5,1.043552279472351,0.4375,0.4375,0.4375,0.666015625
16,20,32,3,1,0.4,3,0.0001,5,0.7421576976776123,0.625,0.625,0.625,0.7841796875
16,10,8,3,1,0.5,2,0.0001,5,0.8370572328567505,0.625,0.625,0.625,0.7548828125
16,10,8,3,1,0.5,3,0.0001,5,0.807482123374939,0.5625,0.5625,0.5625,0.755859375
16,10,16,3,1,0.5,2,0.0001,5,1.0586187839508057,0.4375,0.4375,0.4375,0.6337890625
16,10,16,3,1,0.5,3,0.0001,5,0.9752416014671326,0.4375,0.4375,0.4375,0.728515625
16,10,32,3,1,0.5,2,0.0001,5,0.7345370054244995,0.625,0.625,0.625,0.81640625
16,10,32,3,1,0.5,3,0.0001,5,0.8415861129760742,0.625,0.625,0.625,0.818359375
16,20,8,3,1,0.5,2,0.0001,5,0.8321272134780884,0.625,0.625,0.625,0.7685546875
16,20,8,3,1,0.5,3,0.0001,5,0.825875997543335,0.625,0.625,0.625,0.8408203125
16,20,16,3,1,0.5,2,0.0001,5,0.9775131344795227,0.5625,0.5625,0.5625,0.7470703125
16,20,16,3,1,0.5,3,0.0001,5,0.8881229162216187,0.5625,0.5625,0.5625,0.759765625
16,20,32,3,1,0.5,2,0.0001,5,0.9318246841430664,0.625,0.625,0.625,0.7099609375
16,20,32,3,1,0.5,3,0.0001,5,1.115770936012268,0.4375,0.4375,0.4375,0.6748046875
