batch_size;epochs;fl_filter;ol_units;n_dropout;drop_value;n_layer;lr;patience;val_loss;val_accuracy;val_precision;val_recall;val_auc
8;30;32;3;1;0.13599282044339214;3;0.0008057059130832094;5;0.8223958015441895;0.5833333134651184;0.5833333134651184;0.5833333134651184;0.8064236044883728
16;30;64;3;3;0.6356057167779431;5;0.0001363547590912058;15;0.9594457149505615;0.5625;0.5625;0.5625;0.755859375
16;40;32;3;1;0.6582008579955706;2;0.0004154318247473522;15;0.8813896179199219;0.5625;0.5625;0.5625;0.7490234375
8;50;32;3;1;0.1522166208018632;3;0.00021893560273696683;20;0.8824267983436584;0.5833333134651184;0.6086956262588501;0.5833333134651184;0.73046875
16;30;32;3;3;0.40720496037490694;2;0.0008028984147533425;15;3.100972890853882;0.5625;0.5625;0.5625;0.7265625
16;50;8;3;3;0.6203758262149208;2;0.0007662704642314809;15;1.0729860067367554;0.5625;0.0;0.0;0.71875
8;40;8;3;3;0.1259159909345985;3;0.0009653596595753924;10;0.9187361598014832;0.5833333134651184;0.5833333134651184;0.5833333134651184;0.734375
16;10;32;3;2;0.6208659311411786;2;0.00010985426934755516;10;1.050162672996521;0.5;0.5;0.5;0.7236328125
8;30;64;3;2;0.41320994569316916;4;0.00015962911399864486;20;0.8560159206390381;0.6666666865348816;0.6666666865348816;0.6666666865348816;0.7864583730697632
16;10;16;3;1;0.38093609104085613;2;0.00033108112693872987;10;0.97662752866745;0.5;0.5;0.5;0.6826171875
8;30;32;3;2;0.5128490936474716;3;0.00015012077113064302;5;0.811089277267456;0.625;0.625;0.625;0.7912325859069824
8;10;16;3;2;0.37736273767967743;3;0.00040014835213087054;20;0.9172665476799011;0.625;0.625;0.625;0.782118022441864
16;30;16;3;2;0.44405916195942174;4;0.0008448283359088684;10;0.9813017845153809;0.5625;0.5625;0.5625;0.7470703125
16;20;64;3;2;0.3117261596298302;2;0.000517326677828337;20;0.738671064376831;0.75;0.7333333492279053;0.6875;0.8203125
8;50;8;3;2;0.2909011335241288;3;0.00025478151139850773;20;0.8967896103858948;0.5833333134651184;0.5833333134651184;0.5833333134651184;0.71484375
8;50;16;3;2;0.39076741952860716;2;0.0004121668915515322;5;0.8675649166107178;0.625;0.625;0.625;0.767795205116272
8;20;16;3;1;0.636142961290099;3;0.00015621899199679253;15;0.871320903301239;0.625;0.625;0.625;0.7426215410232544
16;10;64;3;1;0.6598067434933244;2;0.000295655547293749;20;0.938228964805603;0.625;0.625;0.625;0.7275390625
16;30;16;3;2;0.694574114040341;5;0.0005816359728048667;5;0.8700321912765503;0.5625;0.5625;0.5625;0.783203125
16;40;32;3;3;0.3250564861302312;2;0.0009962841600998124;5;1.0013295412063599;0.5625;0.5625;0.5625;0.7158203125
8;20;64;3;2;0.5281181993701733;4;0.0005692442927909105;5;0.8741599917411804;0.625;0.625;0.625;0.7730035185813904
8;20;64;3;2;0.24895962218272255;5;0.0005653523986010122;20;0.9180559515953064;0.5416666865348816;0.5416666865348816;0.5416666865348816;0.7356771230697632
8;20;64;3;2;0.5041831013337447;3;0.00019492182500337882;5;0.9353482127189636;0.5416666865348816;0.5416666865348816;0.5416666865348816;0.734375
16;20;32;3;2;0.20652708882039922;5;0.00010733511033215827;20;0.8726937174797058;0.5625;0.5625;0.5625;0.755859375
