batch_size,epochs,fl_filter,ol_units,n_dropout,drop_value,n_layer,lr,patience,val_loss,val_accuracy,val_precision,val_recall,val_auc
16,50,16,3,1,0.27068031055952835,2,0.000304738789920343,10,1.0256845951080322,0.5,0.46666666865348816,0.4375,0.69921875
8,30,64,3,3,0.1396363445815287,5,0.00010542326486170358,5,0.8223261833190918,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7721353769302368
8,50,16,3,1,0.6435463438375575,5,0.00018176836126759566,20,0.8590388298034668,0.625,0.625,0.625,0.780381977558136
8,10,8,3,2,0.3734238921713785,2,0.00011024235771043048,10,0.8053460717201233,0.625,0.625,0.625,0.7734375
16,10,16,3,3,0.10400321350709019,3,0.0008494084649645917,15,0.8778740167617798,0.5625,0.5625,0.5625,0.7275390625
8,50,32,3,1,0.12826815844145784,4,0.00018677762303805266,5,0.9124190211296082,0.5416666865348816,0.5416666865348816,0.5416666865348816,0.7504339814186096
16,20,64,3,2,0.6590927576188937,3,0.0003724231073174064,15,0.9070262908935547,0.6875,0.6875,0.6875,0.73828125
16,30,64,3,1,0.6861699235405114,5,0.00020892340226054905,5,0.9746078252792358,0.75,0.75,0.75,0.7939453125
16,40,64,3,1,0.5922210713316155,5,0.0009690579321085424,10,0.9329322576522827,0.625,0.625,0.625,0.7685546875
8,10,32,3,3,0.5023509603212909,2,0.00019574678490594363,5,0.8654987215995789,0.625,0.625,0.625,0.7573784589767456
16,10,8,3,1,0.3583980806073801,3,0.00018441852918230902,15,0.8987326622009277,0.5,0.5,0.5,0.7021484375
8,50,16,3,3,0.24794935907828114,5,0.0008661413747921169,20,0.9554963111877441,0.5416666865348816,0.5416666865348816,0.5416666865348816,0.7387152910232544
16,40,8,3,3,0.4355917874989037,3,0.00022991165627896928,15,0.9246816039085388,0.625,0.625,0.625,0.744140625
16,10,8,3,3,0.25338621891726026,3,0.0006908250055689578,15,0.9188973307609558,0.625,0.625,0.625,0.76953125
16,30,32,3,3,0.275531047510713,4,0.0003554645491972162,5,1.1316916942596436,0.5,0.5,0.5,0.73828125
16,30,64,3,1,0.5534559211902585,5,0.0006497254305382326,15,1.0161712169647217,0.5,0.5,0.5,0.6953125
8,10,16,3,3,0.4470695874632893,2,0.00012548653634476145,10,0.8937099575996399,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7447917461395264
16,30,8,3,2,0.48409511181175524,2,0.0001717477034821613,20,0.7735524773597717,0.625,0.625,0.625,0.7998046875
8,30,8,3,1,0.35892020931298896,3,0.00043729779230075366,5,0.8827020525932312,0.625,0.625,0.625,0.7808160185813904
16,30,16,3,1,0.36268727216139085,4,0.0004628047002331205,5,0.9869033694267273,0.5625,0.5625,0.5625,0.734375
16,20,64,3,3,0.20176188206607798,5,0.0002714222639884333,20,0.9157665967941284,0.4375,0.4375,0.4375,0.689453125
8,50,32,3,1,0.12754598939869038,5,0.00011557117079235989,20,0.918109655380249,0.5416666865348816,0.5416666865348816,0.5416666865348816,0.7578125
8,10,64,3,3,0.5807036570249025,5,0.0002227875318081332,10,0.8963324427604675,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.789930522441864
16,50,32,3,3,0.1730818582432596,3,0.0006632855517845354,20,1.0216856002807617,0.375,0.4285714328289032,0.375,0.6728515625
8,10,32,3,2,0.6114977033537995,3,0.0004351253670159005,15,0.9173328280448914,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7473958134651184
16,50,8,3,3,0.6279146327686163,3,0.00011577657396134969,20,0.8593010902404785,0.625,0.625,0.625,0.7626953125
16,40,32,3,2,0.6383366156945142,2,0.00037642875162917307,10,0.8472387790679932,0.625,0.625,0.625,0.76171875
16,50,64,3,2,0.28868350845740764,2,0.0002064193017811325,20,0.8452013731002808,0.5,0.5714285969734192,0.5,0.751953125
16,40,8,3,3,0.1999018595232125,5,0.00021923067982367235,10,0.9893877506256104,0.5,0.5,0.5,0.71484375
16,30,32,3,1,0.3477064423959973,2,0.0008334071480149843,15,0.9654831886291504,0.625,0.5,0.25,0.74609375
16,30,32,3,1,0.43580312054112125,4,0.0004952989085149753,5,0.8753622770309448,0.5625,0.5625,0.5625,0.7900390625
8,50,32,3,3,0.38084607427599027,2,0.0003766973506008623,15,0.9919307827949524,0.5416666865348816,0.5416666865348816,0.5416666865348816,0.7039930820465088
16,40,8,3,2,0.6888444192399072,2,0.0008217294679705271,15,0.8866982460021973,0.625,0.6153846383094788,0.5,0.7548828125
16,10,8,3,2,0.5951761154037871,4,0.00024406684354357462,15,0.8730535507202148,0.5625,0.5625,0.5625,0.748046875
8,20,64,3,2,0.508920925774674,4,0.00035734480730118505,15,0.9528932571411133,0.625,0.625,0.625,0.7951388955116272
8,20,16,3,1,0.24595063352650284,3,0.00020565672951054054,10,0.8619515299797058,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7586805820465088
8,50,8,3,3,0.5661167500876236,2,0.00013538789989555992,5,0.9855799078941345,0.5833333134651184,0.0,0.0,0.741319477558136
8,20,32,3,2,0.1163023964701821,4,0.0003404761847462752,5,0.9113020896911621,0.5416666865348816,0.5416666865348816,0.5416666865348816,0.7651909589767456
8,30,8,3,2,0.6261656715793784,3,0.0003734817446353911,10,0.9370450973510742,0.5416666865348816,0.5416666865348816,0.5416666865348816,0.7018229365348816
16,20,32,3,3,0.4728105906408283,4,0.00010503028470889344,10,1.0070462226867676,0.4375,0.4375,0.4375,0.6875
8,20,16,3,1,0.3464211762375724,3,0.0001696684745031704,15,0.8828256726264954,0.5833333134651184,0.5652173757553101,0.5416666865348816,0.7526042461395264
16,10,64,3,1,0.6449083429404054,2,0.000204042030411238,10,0.9882122874259949,0.625,0.625,0.625,0.7216796875
8,30,64,3,3,0.2721899778470076,4,0.000835994347883082,10,0.9107645153999329,0.5416666865348816,0.5416666865348816,0.5416666865348816,0.7287326455116272
8,30,32,3,3,0.5642481382482083,2,0.00018560197361281117,15,0.8965646624565125,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7256944179534912
16,10,8,3,2,0.2682630723934637,5,0.00021280480144987668,15,0.9239007234573364,0.5,0.5,0.5,0.7490234375
8,10,64,3,1,0.6836860654676529,5,0.00012529108388535602,20,0.8845114707946777,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7738715410232544
16,20,16,3,1,0.3309009874227061,5,0.00018770328331018526,15,0.8012394905090332,0.6875,0.6875,0.6875,0.8291015625
16,30,16,3,3,0.3215945831620307,2,0.0002488788807868574,5,0.7889527082443237,0.6875,0.6875,0.6875,0.7939453125
