batch_size,epochs,fl_filter,ol_units,n_dropout,drop_value,n_layer,lr,patience,val_loss,val_accuracy,val_precision,val_recall,val_auc
8,10,16,3,2,0.1519014248941169,2,0.00012365757421869622,20,0.8417744636535645,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7708332538604736
16,50,64,3,2,0.5934920157745807,5,0.0001478065247654192,20,0.9503873586654663,0.5625,0.5625,0.5625,0.7451171875
16,20,32,3,3,0.4349795100799042,4,0.000537130825161769,20,0.8432943224906921,0.6875,0.6875,0.6875,0.8583984375
8,50,8,3,2,0.3641359585558588,3,0.00037131993681158973,20,0.9224205613136292,0.625,0.625,0.625,0.78515625
16,40,32,3,3,0.4349898201924659,4,0.0005636912573497313,15,1.0830295085906982,0.5625,0.5625,0.5625,0.6953125
8,50,32,3,1,0.1950215026030222,4,0.00022225423670098676,10,0.8899397850036621,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.749131977558136
8,20,32,3,2,0.6561459487231932,3,0.0004793270271124233,5,0.9185941219329834,0.625,0.625,0.625,0.792100727558136
8,40,32,3,2,0.5523491914194153,5,0.00036263441587666,15,0.887003481388092,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7465277910232544
16,30,32,3,1,0.2551981732737212,2,0.0008237872488934399,20,1.146625280380249,0.625,0.625,0.625,0.759765625
8,10,32,3,3,0.35851856045614006,3,0.0004015792204959761,5,0.8775749206542969,0.625,0.625,0.625,0.7647570371627808
8,50,16,3,3,0.6853234347038065,3,0.0004445925092013507,5,0.8956130146980286,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7369792461395264
8,50,32,3,1,0.27669910777400275,2,0.00028255943996386475,5,0.9332590103149414,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7612847089767456
8,40,16,3,2,0.5294241511049835,4,0.0007401675023133378,10,0.899328887462616,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7638888955116272
8,50,32,3,3,0.3070931620788381,3,0.00021113479965177942,20,0.8934963345527649,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7478299140930176
8,10,16,3,1,0.46813432775376607,3,0.00011471273754835762,15,0.8892796635627747,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7486979365348816
16,30,16,3,3,0.29680889282885115,3,0.00019741205955778552,5,0.8634222149848938,0.5625,0.5625,0.5625,0.7783203125
16,50,16,3,1,0.12237065496883577,4,0.0004306790275547205,15,0.7777277231216431,0.6875,0.6875,0.6875,0.845703125
8,20,32,3,1,0.6490469953670693,5,0.00039416472887849474,20,1.1563524007797241,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7764756679534912
8,40,8,3,1,0.139024298376988,2,0.0001155604625586095,20,0.9014265537261963,0.5833333134651184,0.5652173757553101,0.5416666865348816,0.7157118320465088
16,40,16,3,3,0.5527379009778717,3,0.0007366705333670217,5,0.7871181964874268,0.6875,0.6875,0.6875,0.822265625
16,50,64,3,1,0.11005246868550306,2,0.0009408769869445853,20,0.8084850311279297,0.625,0.625,0.625,0.76953125
8,30,64,3,2,0.5205191520327657,2,0.0001535212425994708,15,0.8930664658546448,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7213541269302368
8,50,32,3,1,0.12589740096910032,2,0.0006583439783736662,5,1.0051522254943848,0.5416666865348816,0.5416666865348816,0.5416666865348816,0.71484375
16,30,8,3,3,0.4840597664136336,5,0.0005923738878515635,10,0.8870394229888916,0.5625,0.5625,0.5625,0.7529296875
