batch_size,epochs,fl_filter,n_dropout,drop_value,n_layer,lr,patience,val_loss,val_accuracy,val_precision,val_recall,val_auc
64,48,64,2,0.6743135176883623,5,0.0001935039779409612,6,0.4761315584182739,0.84619140625,0.8514115810394287,0.83935546875,0.9469961524009705
64,19,64,1,0.4415610371970822,3,0.0002686482352979526,14,0.44636809825897217,0.84033203125,0.8483033776283264,0.830078125,0.9447070360183716
32,34,64,2,0.21807162720987433,5,0.000645876708303936,15,0.4633341133594513,0.82763671875,0.8381240367889404,0.8115234375,0.9442819356918335
8,38,64,3,0.3225912162280139,2,0.000605322565491548,19,0.5364420413970947,0.786821722984314,0.7923039197921753,0.7781007885932922,0.9258766174316406
8,29,8,2,0.5252792225148493,4,0.0007104244242818412,5,0.6620822548866272,0.7344961166381836,0.7407224178314209,0.7252907156944275,0.8924136757850647
8,12,8,3,0.6331872580967047,5,0.0005998511372003756,11,0.8704538345336914,0.5852712988853455,0.5852712988853455,0.5852712988853455,0.7768895626068115
16,33,32,3,0.5489280602523606,4,0.0001751313888687244,6,0.6158141493797302,0.7790697813034058,0.780321478843689,0.7761628031730652,0.9147115349769592
64,36,8,3,0.5645239971363248,2,0.00022923721866019886,15,0.6032675504684448,0.7783203125,0.8156840205192566,0.69580078125,0.9155421853065491
32,30,32,2,0.33833132269960253,5,0.0002521825398314665,13,0.47879430651664734,0.8623046875,0.8647319078445435,0.8583984375,0.9544346928596497
8,35,8,2,0.461224823780906,5,0.0002463943693337451,16,0.580218493938446,0.7776162624359131,0.7789215445518494,0.7698643207550049,0.9152902364730835
64,15,16,1,0.7812294245850233,3,0.00010025959027341572,10,0.5539035201072693,0.7978515625,0.8011839985847473,0.79296875,0.9210694432258606
32,24,64,1,0.21977164573917293,3,0.00037506329420107927,18,0.350383460521698,0.8818359375,0.893413782119751,0.86767578125,0.9658671617507935
32,22,64,1,0.20318017810287903,3,0.00038739375096997727,20,0.39195600152015686,0.87060546875,0.8721215128898621,0.869140625,0.9606154561042786
32,23,64,1,0.20670138497140675,3,0.00041295350980798747,20,0.3749356269836426,0.86865234375,0.8790322542190552,0.8515625,0.9601538777351379
